,City,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Padang,87.85,broken clouds,-0.9492,100.3543,Mercure Padang
2,Vaini,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
6,Bambanglipuro,81.3,overcast clouds,-7.95,110.2833,Puri Brata
7,Karwar,78.53,overcast clouds,14.8,74.1333,Netalco Connects
8,Butaritari,81.84,light rain,3.0707,172.7902,Isles Sunset Lodge
17,Tegal,87.46,broken clouds,-6.8694,109.1402,Riez Palace Hotel
26,Boa Vista,82.38,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
31,Bethel,80.96,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
36,Kahului,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
39,Kudahuvadhoo,81.46,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
46,Farah,85.42,clear sky,32.5,62.5,
51,Samarai,78.66,overcast clouds,-10.6167,150.6667,Nuli Sapi
52,Bengkulu,83.23,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
56,Oranjestad,80.94,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
58,Kapaa,82.38,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
60,Lagos,75.52,broken clouds,6.5833,3.75,
61,Dali,78.01,clear sky,25.7,100.1833,Dali Travelling With Hostel
63,Avarua,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
64,Balkanabat,87.55,scattered clouds,39.5108,54.3671,Nebitchi Hotel
66,Yumen,84.9,clear sky,40.2833,97.2,
68,Mantua,78.04,few clouds,45.1667,10.7833,Hotel la Favorita
69,Wakkanai,80.58,few clouds,45.4094,141.6739,Hyōsetsu-sō
75,Tapikan,84.29,scattered clouds,6.8519,124.3225,
83,Saint George,83.95,scattered clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
84,Ormond Beach,82.09,broken clouds,29.2858,-81.0559,Makai Beach Lodge
85,Veraval,81.59,overcast clouds,20.9,70.3667,Lords Inn Somnath
86,Labuhan,88.23,overcast clouds,-6.8844,112.2051,DoubleFAG
94,Georgetown,89.53,haze,5.4112,100.3354,Cititel Penang
95,Oussouye,78.17,broken clouds,12.485,-16.5469,Auberge du Routard
96,Mogadishu,75.72,light rain,2.0371,45.3438,Hotel Juba
100,Luganville,79.75,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
102,Atuona,77.56,clear sky,-9.8,-139.0333,Villa Enata
103,Tutoia,77.31,few clouds,-2.7619,-42.2744,Tutóia Pousada Vila Beach
104,Osypenko,77.5,overcast clouds,46.9136,36.8253,
113,Mount Isa,80.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
116,Hilo,85.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
118,Clearwater,78.78,clear sky,27.9659,-82.8001,Residence Inn by Marriott Clearwater Downtown
120,Sao Filipe,78.94,overcast clouds,14.8961,-24.4956,Hotel Xaguate
132,Chenghai,78.71,light intensity shower rain,23.4632,116.768,Guangdong Hotel
135,Cabatuan,86.13,overcast clouds,10.8794,122.486,MVC Transient Room
146,Waingapu,87.1,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
148,Lillooet,79.03,few clouds,50.6856,-121.942,Hotel Victoria
152,Mae Sai,84.54,broken clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
154,Hithadhoo,81.93,scattered clouds,-0.6,73.0833,Scoop Guest House
155,Neyshabur,75.96,clear sky,36.2133,58.7958,Amiran Hotel & Commercial Complex
156,Sungairaya,88.75,broken clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
162,Kavieng,80.08,moderate rain,-2.5744,150.7967,Nusa Island Retreat
175,Mandera,75.07,overcast clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
178,Iralaya,80.51,overcast clouds,15.0,-83.2333,Iglesia morava renovada
180,Pokhara,79.09,broken clouds,28.2333,83.9833,OYO 170 Hotel View Point
187,Parrita,78.49,overcast clouds,9.5201,-84.3225,Beso del Viento
188,Nagato,87.55,overcast clouds,34.3833,131.2,いそう庵
193,Gariadhar,82.02,overcast clouds,21.5333,71.5833,Circuit House
196,Tianjin,82.35,clear sky,39.1422,117.1767,Ibis Tianjin Tian Wei
199,Hirara,86.27,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
201,Laguna,75.4,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
203,Cockburn Town,81.03,clear sky,21.4612,-71.1419,Osprey Beach Hotel
207,Kurmanayevka,75.47,scattered clouds,52.5093,52.0675,
211,Seoul,85.39,broken clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
212,Aleksandrov Gay,80.92,clear sky,50.147,48.5704,Gostinitsa
213,Neftcala,80.53,clear sky,39.3742,49.2472,Otel restoran
217,Hope,75.25,broken clouds,33.6671,-93.5916,Best Western Hope
223,Tanete,76.55,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
225,Komsomolskiy,83.12,scattered clouds,40.4272,71.7189,Ikathouse
226,Kuningan,82.2,broken clouds,-6.9758,108.4831,OYO 2500 Gassani
231,Rockport,86.02,clear sky,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
234,Karratha,76.87,clear sky,-20.7377,116.8463,ibis Styles Karratha
235,Ambulu,84.38,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
241,Yazoo City,75.7,overcast clouds,32.8551,-90.4056,Hampton Inn Yazoo City
250,Avera,76.55,overcast clouds,33.194,-82.5271,
252,Asyut,83.59,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
254,Kloulklubed,84.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
255,Erenhot,88.99,clear sky,43.6475,111.9767,Erenhot Rurouni Youth Hostel
260,Jalu,78.24,clear sky,29.0331,21.5482,صاحبة الفخامة
262,Remedios,79.72,broken clouds,22.4947,-79.5458,Hostal Yunai
263,Oranzherei,81.68,clear sky,45.8476,47.5663,Usad'ba V Khmelevom
264,Vostok,75.56,scattered clouds,46.4856,135.8833,
265,Martaban,80.08,overcast clouds,16.5314,97.6111,Lu Wa Gyi Guest House
267,Amahai,80.42,broken clouds,-3.3333,128.9167,HOTEL ISABELA
270,Lancaster,76.44,clear sky,40.2504,-76.2499,Refreshing Mountain Retreat and Adventure Center
274,Ambon,87.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
275,Tuburan,87.89,overcast clouds,6.6439,122.2736,GT Site
278,Salalah,75.29,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
281,Wanning,76.44,moderate rain,18.8003,110.3967,Paradise Hotel
282,Bandarbeyla,80.96,overcast clouds,9.4942,50.8122,JABIR HOTEL
283,High Rock,83.95,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
284,Tessalit,82.96,overcast clouds,20.1986,1.0114,
287,Pietrasanta,77.05,clear sky,43.9522,10.2248,Hotel Central Park
294,Olga,77.54,clear sky,43.7444,135.2892,Gostinitsa Rosmorport.
300,Cottonwood,78.64,few clouds,34.7392,-112.0099,Pines Inn & Suites
301,Semnan,85.84,clear sky,35.5729,53.3971,Semnan Tourist Hotel
303,Male,81.25,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
312,Nicoya,75.45,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
320,Aquiraz,77.09,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
325,Katsuura,84.81,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
328,Payson,83.68,clear sky,40.0444,-111.7321,Quality Inn Payson I-15
330,Kimbe,82.47,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
332,Helong,82.4,clear sky,42.5397,128.9972,Helong Hotel
333,Thinadhoo,81.61,scattered clouds,0.5333,72.9333,
334,Ponnani,79.92,overcast clouds,10.767,75.9252,Rouba Residency
338,Abnub,83.32,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
340,Nurobod,79.75,broken clouds,40.9056,69.8023,
341,Uribia,82.18,overcast clouds,11.7139,-72.266,Hotel Uribia
342,Yashkul,83.39,clear sky,46.1711,45.3435,"Gostinitsa ""Putnik"""
345,Marakkanam,85.62,overcast clouds,12.2,79.95,Samvasa by the Sea
346,Puerto Santander,80.01,overcast clouds,8.3636,-72.4063,Hotel Toronto
348,Meulaboh,84.11,overcast clouds,4.1363,96.1285,Kost Pria
351,Alofi,78.69,clear sky,-19.0595,-169.9187,Taloa Heights
352,Belyy Yar,76.89,clear sky,53.6039,91.3903,Pasportnyy Stol
353,Lorengau,84.25,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
356,Mareeba,77.43,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
357,Conway,78.78,few clouds,35.0887,-92.4421,"Country Inn & Suites by Radisson, Conway, AR"
365,Patiya,84.15,light rain,22.2931,91.9762,Sorry
366,Xinxiang,78.35,overcast clouds,35.3089,113.8672,Guoyu Holiday Inn
369,Kargasok,76.24,few clouds,59.0556,80.8572,Hotel Kargasok
375,Colombo,81.09,overcast clouds,6.9319,79.8478,Galle Face Hotel
376,Bonthe,75.4,light rain,7.5264,-12.505,Bonthe Holiday Village
380,Tombouctou,86.85,broken clouds,20.0,-3.0,
386,Zaragoza,79.02,clear sky,41.6561,-0.8773,Hotel Goya
387,Port Said,80.31,clear sky,31.2565,32.2841,Aracan Hotel
388,San Lawrenz,78.85,clear sky,36.0553,14.204,San Andrea Hotel
389,Hurricane,82.02,overcast clouds,37.1753,-113.2899,Super 8 by Wyndham Hurricane Zion National Park
391,Puerto Colombia,82.49,few clouds,10.9878,-74.9547,Hotel El Emigrante
396,Catuday,80.85,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
399,Majene,80.35,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
408,Awjilah,77.58,clear sky,29.1081,21.2869,المنزل
410,Baijiantan,88.16,overcast clouds,45.6333,85.1833,
412,Shepsi,75.79,clear sky,44.0361,39.1489,Otel' Chayka
413,Kaspiyskiy,81.72,clear sky,45.3929,47.3707,"Gostinitsa ""Gostevoy Dvor"""
414,San Patricio,85.86,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
416,Trincomalee,84.87,overcast clouds,8.5711,81.2335,Welcombe Hotel
417,Wattegama,87.26,overcast clouds,6.7989,81.4808,
419,Pasni,86.95,broken clouds,25.2631,63.471,Kashmiri Hotal
420,Ajdabiya,77.23,clear sky,30.7554,20.2263,Almadina Hotel
424,Motihari,89.64,broken clouds,26.65,84.9167,"Rajeshwari Palace Hotel, Motihari"
428,Matay,79.81,clear sky,28.419,30.7792,Nag Aespen
435,Umarkot,89.02,overcast clouds,25.3616,69.7362,Al-Qamar Boys Hostel
437,Wagar,79.7,overcast clouds,16.1525,36.2032,
438,Naze,86.92,few clouds,28.3667,129.4833,Shishime Hotel
440,Alyangula,79.81,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
443,Zabid,83.64,overcast clouds,14.1951,43.3152,مغرب التريبه
447,Houston,85.37,clear sky,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
449,Pierre,79.86,clear sky,44.3683,-100.351,Ramkota Hotel
455,Bodden Town,78.93,overcast clouds,19.2833,-81.25,Will T Place
460,Koulikoro,77.65,light rain,14.0,-7.75,
461,Sakaiminato,89.58,heavy intensity rain,35.55,133.2333,Italian pasley
464,Camacari,76.77,clear sky,-12.6975,-38.3242,Sítio Blasi
465,Victoria,80.65,light rain,22.2855,114.1577,Mini Central
468,Shubarkuduk,78.13,clear sky,49.1447,56.4872,Sirius
470,Namatanai,82.96,light rain,-3.6667,152.4333,Seagulls Inn Namatani
471,Cabo San Lucas,87.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
473,Washington,81.0,broken clouds,47.5001,-120.5015,"Cashmere Cider Mill Guest Suites, Weddings & Tasting Room"
478,Council Bluffs,76.51,clear sky,41.2619,-95.8608,"Holiday Inn Express & Suites Council Bluffs - Conv Ctr Area, an IHG Hotel"
482,Garowe,77.0,overcast clouds,8.4054,48.4845,Curubo Hotel
484,Zhangjiakou,79.21,clear sky,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
485,Ca Mau,86.43,light rain,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
487,Oriximina,77.16,scattered clouds,-1.7656,-55.8661,Pousada Tia Amélia
490,Pukhrayan,89.76,clear sky,26.2333,79.85,Raj Guest House And Restaurant.
494,Cairns,82.06,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
495,Gao,86.22,overcast clouds,16.6362,1.637,
496,Son La,84.34,broken clouds,21.3167,103.9,Galaxy Grand Hotel
498,Nantucket,77.11,mist,41.2835,-70.0995,Jared Coffin House
499,Hobyo,77.36,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
501,Bathsheba,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
502,Saveh,79.5,clear sky,35.0213,50.3566,Sadra
503,Mitsamiouli,75.49,few clouds,-11.3847,43.2844,Foyer ADM
504,Daru,78.37,overcast clouds,-9.0763,143.2092,Daru Lodge
505,Tubuala,79.43,overcast clouds,9.5167,-79.0333,
506,Yarmouth,77.05,mist,41.7057,-70.2286,Blue Rock Resort
510,Port Moresby,81.82,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
512,Manacapuru,77.52,broken clouds,-3.2997,-60.6206,Novo Hotel
514,Gillette,77.95,clear sky,44.2911,-105.5022,National 9 Inn - Gillette WY
515,Kailua,85.98,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
517,Tel Aviv-Yafo,79.21,scattered clouds,32.0805,34.7805,Ben Yehuda apartments
518,Hit,87.26,clear sky,33.6416,42.8251,ࢪُبَمـا ؏ُـمَـࢪ
520,Tigzirt,77.85,clear sky,36.8886,4.1198,Bloc D tazoumbirt (amar)
521,Neiafu,81.28,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
522,Bacolod,84.81,light rain,10.6667,122.95,Planta Hotel & Residences
524,San Pedro De Macoris,77.13,overcast clouds,18.4616,-69.2972,Apartahotel Guaraguao
531,Najran,83.05,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
532,Alice Town,84.33,scattered clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
534,Tomatlan,76.82,broken clouds,19.9333,-105.25,El Salvial
537,Jining,80.49,overcast clouds,35.405,116.5814,Yunhe Star Hotel
541,Mahibadhoo,81.45,overcast clouds,3.7833,72.9667,Omadhoo Inn
543,Bondowoso,87.19,overcast clouds,-7.9135,113.8214,Anugerah Hotel Bondowoso
544,Bilokurakyne,75.9,clear sky,49.5341,38.7307,ГОСТИНИЦА ЮБИЛЕЙНАЯ( ПАЛУБА)
545,Bac Lieu,85.68,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
550,Ligaya,86.99,broken clouds,12.6599,120.8923,Apo Reef Club
551,Palmer,76.37,overcast clouds,42.1584,-72.3287,Wedgewood Motel
552,Gat,77.68,few clouds,31.61,34.7642,OlusHome
567,Kidal,81.52,few clouds,18.4411,1.4078,
568,Choctaw,79.12,scattered clouds,35.4976,-97.2689,Woodland Hills Mobile Home Prk
574,Kavaratti,80.74,overcast clouds,10.5669,72.642,Green leaf
577,Mountain Home,81.88,overcast clouds,43.133,-115.6912,Mountain Home Inn
580,Iracoubo,77.25,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
581,Danville,75.87,clear sky,36.586,-79.395,"Holiday Inn Express Danville, an IHG Hotel"
582,Fereydun Kenar,75.42,overcast clouds,36.6864,52.5225,Khezer Shahr Tourist Hotel
583,Alanya,77.13,clear sky,36.5438,31.9998,Panorama Hotel
589,Umm Lajj,87.87,broken clouds,25.0213,37.2685,Moon light Furnished Units
590,Acarau,75.76,scattered clouds,-2.8856,-40.12,castelo pizzaria
591,Dingle,84.13,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
594,Hovd,79.36,scattered clouds,48.0056,91.6419,Hotel Khovd
597,Kirakira,82.04,broken clouds,-10.4544,161.9205,SanBiz Lodge
601,Quang Ngai,86.05,overcast clouds,15.1167,108.8,Central Hotel
603,Kabanjahe,80.02,overcast clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
604,Saryozek,79.07,overcast clouds,44.3583,77.9753,Gostinitsa
605,Jibuti,80.33,overcast clouds,11.5,42.5,Orchid Main Camp Goubet
607,Teknaf,78.22,overcast clouds,20.8624,92.3058,Forestry Guesthouse
608,The Valley,82.09,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
610,Tura,83.26,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
616,Tecoanapa,77.99,overcast clouds,16.5167,-98.75,Hotel Manglares
618,Jasper,77.05,clear sky,37.2001,-94.3502,Guest House Motel
619,Fredericksburg,80.26,clear sky,38.3032,-77.4605,Courtyard by Marriott Fredericksburg Historic District
621,Champerico,78.1,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
631,Kilindoni,76.35,overcast clouds,-7.9139,39.6668,Bustani B&B
632,Beloye,82.0,clear sky,48.4952,39.0505,
633,Karatau,82.11,clear sky,43.1667,70.4667,Baza Zika
637,Annau,83.7,scattered clouds,37.8876,58.516,"Гостиница ""Уссат инженер"""
640,Elizabeth City,82.42,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
641,Kalmunai,89.1,overcast clouds,7.4167,81.8167,VS Villa
651,Hambantota,86.34,few clouds,6.1241,81.1185,Bungalow 63
652,Ormara,87.06,broken clouds,25.2088,64.6357,Kenara Colony House for Rent
653,Zurrieq,78.96,few clouds,35.8311,14.4742,Ta'Bertu Guest House
654,Linxia,81.12,overcast clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
655,Hays,87.15,few clouds,30.0502,-98.0336,Sinya on Lone Man Creek
656,Palu,85.26,broken clouds,-0.8917,119.8707,Hotel Santika Palu
657,Banda Aceh,86.34,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
663,Ratnagiri,81.34,broken clouds,16.9833,73.3,Hotel Landmark
664,Seka,83.34,moderate rain,17.9285,103.9552,โรงแรมเสาวลักษณ์วิลล่า
665,Fairview,83.46,broken clouds,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
668,Tulare,78.13,few clouds,36.2666,-118.8009,Puppy
678,Maningrida,86.54,clear sky,-12.0667,134.2667,Dhukurrdji Lodge
682,Emba,78.12,clear sky,48.8264,58.1442,
685,Magadi,75.36,overcast clouds,12.9667,77.2333,Gobi centre
689,Jiwani,87.35,overcast clouds,25.05,61.7417,Hamza hotel jiwani
